[ 2020-09-15 11:00:49,765 ] - [ modelgenerator.py ] - [ line:243 ] - INFO : STATE默认值为空-字段可为空-字符定长类型处理
[ 2020-09-15 11:00:49,765 ] - [ modelgenerator.py ] - [ line:255 ] - INFO : STATE_DATE默认值为空-字段可为空-时间类型处理
[ 2020-09-15 11:00:49,765 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : SP_ID默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,767 ] - [ modelgenerator.py ] - [ line:504 ] - INFO : oracle2mysql----------------------------bfm_job_role表模型成功构建----------------------------
[ 2020-09-15 11:00:49,796 ] - [ modelgenerator.py ] - [ line:202 ] - INFO : oracle2mysql----------------------------bfm_layout_def表模型开始构建----------------------------
[ 2020-09-15 11:00:49,796 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,796 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : LAYOUT_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,796 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : TITLE默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,796 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : WIDGETS默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,797 ] - [ modelgenerator.py ] - [ line:291 ] - INFO : STATE默认值为空-字段非空-字符定长类型处理
[ 2020-09-15 11:00:49,797 ] - [ modelgenerator.py ] - [ line:305 ] - INFO : STATE_DATE默认值为空-字段非空-时间类型处理
[ 2020-09-15 11:00:49,797 ] - [ modelgenerator.py ] - [ line:504 ] - INFO : oracle2mysql----------------------------bfm_layout_def表模型成功构建----------------------------
[ 2020-09-15 11:00:49,824 ] - [ modelgenerator.py ] - [ line:202 ] - INFO : oracle2mysql----------------------------bfm_layout_def_his表模型开始构建----------------------------
[ 2020-09-15 11:00:49,824 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : LAYOUT_HIS_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,825 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : LAYOUT_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,825 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : TITLE默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,825 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : WIDGETS默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,825 ] - [ modelgenerator.py ] - [ line:291 ] - INFO : STATE默认值为空-字段非空-字符定长类型处理
[ 2020-09-15 11:00:49,825 ] - [ modelgenerator.py ] - [ line:305 ] - INFO : STATE_DATE默认值为空-字段非空-时间类型处理
[ 2020-09-15 11:00:49,826 ] - [ modelgenerator.py ] - [ line:504 ] - INFO : oracle2mysql----------------------------bfm_layout_def_his表模型成功构建----------------------------
[ 2020-09-15 11:00:49,861 ] - [ modelgenerator.py ] - [ line:202 ] - INFO : oracle2mysql----------------------------bfm_menu表模型开始构建----------------------------
[ 2020-09-15 11:00:49,862 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : MENU_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,862 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : ICON_URL默认值为空-字段可为空-字符类型处理
